Lesson #,Lesson ID,Lesson Title,Step #,Step Title,Copy (Body Text),Player Action Required,Notes
3,point,Establishing a Point,13,Roll a Seven,Roll again.,Roll (forced 7),
3,point,Establishing a Point,14,Seven Out,"The 7 arrived before the Point. The Pass Line loses, and a new round begins.",None,
3,point,Establishing a Point,15,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
4,passodds,Pass Line Odds,1,Pass Line Odds,"After a Point is established, you may add an Odds bet behind your Pass Line bet.",None,
4,passodds,Pass Line Odds,2,Establish a Point,Place a bet on the Pass Line.,Place bet on Pass Line,
4,passodds,Pass Line Odds,3,Come Out Roll,Roll the dice.,Roll (forced 8),
4,passodds,Pass Line Odds,4,Take Odds,Place an additional chip in the Odds area behind your Pass Line bet.,Place Odds bet behind Pass Line,Custom check: passodds > 0
4,passodds,Pass Line Odds,5,Two Connected Bets,Your original Pass Line bet and your Odds bet both depend on the Point.,None,
4,passodds,Pass Line Odds,6,True Odds,The Odds bet pays according to the chance of rolling the Point before a 7.,None,
4,passodds,Pass Line Odds,7,Hit the Point,Roll the dice.,Roll (forced 8),
4,passodds,Pass Line Odds,8,Two Payouts,"The Pass Line and Odds bets both win, but they use different payout rates.",None,
4,passodds,Pass Line Odds,9,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
5,come,Come Bets,1,Come Bets,"A Come bet follows the same rules as the Pass Line, but it begins after the table Point is already active.",None,
5,come,Come Bets,2,Establish the Table Point,Place a Pass Line bet.,Place bet on Pass Line,
5,come,Come Bets,3,Set the Table Point,Roll the dice.,Roll (forced 8),
5,come,Come Bets,4,Place a Come Bet,Place a chip in the Come area.,Place bet on Come,
5,come,Come Bets,5,A Personal Come Out Roll,The next roll acts like a Come Out Roll for this Come bet.,None,
5,come,Come Bets,6,Come Bet Outcomes,"A 7 or 11 wins the Come bet. A 2, 3, or 12 loses it. Any Point number moves the bet to that number.",None,
5,come,Come Bets,7,Move the Come Bet,Roll the dice.,Roll (forced 5),
5,come,Come Bets,8,Come Point of 5,The Come bet moves to 5. It now wins if 5 rolls before 7.,None,
5,come,Come Bets,9,Come Odds,You may place Odds behind a Come bet after it moves to a number.,Place Odds on Come bet (5),Custom check: come bet on 5 has odds > 0
5,come,Come Bets,10,Multiple Points,"The table Point is still 8, while your Come bet has its own Point of 5.",None,
5,come,Come Bets,11,Resolve the Come Bet,Roll the dice.,Roll (forced 5),
5,come,Come Bets,12,Come Bet Winner,The 5 wins both the Come bet and its Odds. The Pass Line remains active on 8.,None,
5,come,Come Bets,13,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
6,place,Place Bets,1,Place Bets,A Place bet lets you choose a number directly.,None,
6,place,Place Bets,2,Choose a Number,Place a bet on 6.,Place bet on Place-6,
6,place,Place Bets,3,Winning a Place Bet,Your Place bet wins whenever 6 rolls before 7.,None,
6,place,Place Bets,4,Unrelated Rolls,Other numbers do not affect this bet.,Roll (forced 9),
6,place,Place Bets,5,Still Working,The 9 does not affect your Place bet on 6.,None,
6,place,Place Bets,6,Hit Your Number,Roll again.,Roll (forced 6),
6,place,Place Bets,7,Place Bet Winner,"The 6 rolled, so your Place bet wins.",None,
6,place,Place Bets,8,The Losing Number,All active Place bets lose when a 7 rolls.,None,
6,place,Place Bets,9,Seven Out,Roll again.,Roll (forced 7),
6,place,Place Bets,10,Place Bets Removed,The 7 removes your Place bet.,None,
6,place,Place Bets,11,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
7,betonoff,Turning Bets On and Off,1,Working Bets,A working bet is active on the next roll.,None,
7,betonoff,Turning Bets On and Off,2,Place a Bet,Place a bet on 6.,Place bet on Place-6,
7,betonoff,Turning Bets On and Off,3,Turn the Bet Off,Use the Off control to make the bet inactive.,Turn bet Off,Custom check: bet inactive
7,betonoff,Turning Bets On and Off,4,An Inactive Bet,An Off bet does not win or lose until it is turned back On.,None,
7,betonoff,Turning Bets On and Off,5,Roll While Off,Roll the dice.,Roll (forced 6),
7,betonoff,Turning Bets On and Off,6,No Action,"The 6 rolled, but the bet was Off, so no payout occurs.",None,
7,betonoff,Turning Bets On and Off,7,Turn It Back On,Turn the Place bet back On.,Turn bet On,Custom check: bet active
7,betonoff,Turning Bets On and Off,8,Roll While Working,Roll again.,Roll (forced 6),
7,betonoff,Turning Bets On and Off,9,Active Winner,"The bet was working, so the 6 pays.",None,
7,betonoff,Turning Bets On and Off,10,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
8,buy,Buy Bets,1,Buy Bets,A Buy bet also wagers on a number rolling before 7.,None,
8,buy,Buy Bets,2,Buy the 4,Place a Buy bet on 4.,Place bet on Buy-4,
8,buy,Buy Bets,3,Buy Bet Payouts,"Buy bets use true odds, with a commission charged according to the table rules.",None,
8,buy,Buy Bets,4,Roll a Winner,Roll the dice.,Roll (forced 4),
8,buy,Buy Bets,5,Buy Bet Winner,"The 4 rolled before 7, so the Buy bet wins.",None,
8,buy,Buy Bets,6,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
9,field,The Field,1,The Field,The Field is a one-roll bet.,None,
9,field,The Field,2,Winning Numbers,"The Field wins on 2, 3, 4, 9, 10, 11, or 12.",None,
9,field,The Field,3,Losing Numbers,"The Field loses on 5, 6, 7, or 8.",None,
9,field,The Field,4,Place a Field Bet,Place a chip in the Field.,Place bet on Field,
9,field,The Field,5,One Roll Only,The bet resolves on the next roll.,Roll (forced 10),
9,field,The Field,6,Field Winner,A 10 wins the Field bet.,None,
9,field,The Field,7,Try a Losing Roll,Place another Field bet.,Place bet on Field,
9,field,The Field,8,Field Loss,Roll the dice.,Roll (forced 6),
9,field,The Field,9,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
10,hardways,Hardways,1,Hardways,A Hardway bet wins when an even total is rolled as a matching pair.,None,
10,hardways,Hardways,2,Hard 6,Hard 6 means rolling 3 and 3.,None,
10,hardways,Hardways,3,Place the Bet,Place a bet on Hard 6.,Place bet on Hard-6,
10,hardways,Hardways,4,Roll It the Hard Way,Roll the dice.,Roll (forced 3+3),
10,hardways,Hardways,5,Hardway Winner,"The total is 6, and both dice match. Hard 6 wins.",None,
10,hardways,Hardways,6,The Easy Way,Hard 6 loses if 6 appears as 1 and 5 or 2 and 4.,None,
10,hardways,Hardways,7,See an Easy 6,Place another Hard 6 bet.,Place bet on Hard-6,
10,hardways,Hardways,8,Roll It the Easy Way,Roll the dice.,Roll (forced 2+4),
10,hardways,Hardways,9,Hardway Loss,"The total is 6, but the dice do not match. Hard 6 loses.",None,
10,hardways,Hardways,10,Seven Also Loses,A 7 also removes active Hardway bets.,None,
10,hardways,Hardways,11,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
11,props,Proposition Bets,1,Proposition Bets,Proposition bets predict the result of the next roll.,None,
11,props,Proposition Bets,2,One-Roll Bets,Each proposition bet wins or loses immediately after one roll.,None,
11,props,Proposition Bets,3,Choose a Proposition,Place a bet on Any 7.,Place bet on Any-7,
11,props,Proposition Bets,4,Resolve the Bet,Roll the dice.,Roll (forced 7),
11,props,Proposition Bets,5,Any 7 Wins,"The next roll was 7, so the bet wins.",None,
11,props,Proposition Bets,6,Higher Risk,Proposition bets often offer larger payouts because they win less frequently.,None,
11,props,Proposition Bets,7,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
12,hopbets,Hop Bets,1,Hop Bets,A Hop bet predicts the exact dice combination on the next roll.,None,
12,hopbets,Hop Bets,2,Choose a Combination,Place a Hop bet on 3 and 4.,Place bet on Hop 3-4,
12,hopbets,Hop Bets,3,Exact Dice,The next roll must show a 3 and a 4 for this bet to win.,None,
12,hopbets,Hop Bets,4,Roll the Dice,Roll now.,Roll (forced 3+4),
12,hopbets,Hop Bets,5,Hop Winner,"The exact combination appeared, so the Hop bet wins.",None,
12,hopbets,Hop Bets,6,Doubles,Hop bets on doubles usually use a different payout because there is only one matching combination.,None,
12,hopbets,Hop Bets,7,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
13,bonus,Bonus Bets,1,Bonus Bets,Bonus bets track a series of results across several rolls.,None,
13,bonus,Bonus Bets,2,Longer Objectives,"Unlike one-roll bets, a Bonus bet may stay active through many rolls.",None,
13,bonus,Bonus Bets,3,Choose a Bonus Bet,Place a bet on the highlighted Bonus area.,Place Bonus bet (low),Custom check: bonus.low > 0
13,bonus,Bonus Bets,4,Track Progress,Each qualifying roll marks progress toward the Bonus.,Roll (forced 4),
13,bonus,Bonus Bets,5,The Seven,A 7 usually ends unfinished Bonus bets.,Roll (forced 7),
13,bonus,Bonus Bets,6,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
14,dontpass,Don't Pass,1,Don't Pass,The Don't Pass bet wagers against the shooter making the Point.,None,
14,dontpass,Don't Pass,2,Come Out Roll,"On the Come Out Roll, 2 or 3 wins the Don't Pass bet.",None,
14,dontpass,Don't Pass,3,Come Out Losses,A 7 or 11 loses the Don't Pass bet.,None,
14,dontpass,Don't Pass,4,The 12,A 12 is a push on most Don't Pass tables. Your bet is returned with no win or loss.,None,
14,dontpass,Don't Pass,5,Place a Don't Pass Bet,Place a chip on Don't Pass.,Place bet on Don't Pass,
14,dontpass,Don't Pass,6,Establish a Point,Roll the dice.,Roll (forced 6),
14,dontpass,Don't Pass,7,Betting Against the Point,"With a Point established, Don't Pass wins if 7 rolls before the Point.",None,
14,dontpass,Don't Pass,8,Win With 7,Roll again.,Roll (forced 7),
14,dontpass,Don't Pass,9,Don't Pass Winner,"The 7 arrived before the Point, so the Don't Pass bet wins.",None,
14,dontpass,Don't Pass,10,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
15,dontcome,Don't Come,1,Don't Come,A Don't Come bet works like Don't Pass after the table Point is already active.,None,
15,dontcome,Don't Come,2,Establish the Table Point,Place a Don't Pass bet.,Place bet on Don't Pass,
15,dontcome,Don't Come,3,Set the Table Point,Roll the dice.,Roll (forced 8),
15,dontcome,Don't Come,4,Place a Don't Come Bet,Place a chip in the Don't Come area.,Place bet on Don't Come,
15,dontcome,Don't Come,5,A Separate Come Out Roll,The next roll acts as a personal Come Out Roll for the Don't Come bet.,None,
15,dontcome,Don't Come,6,Move the Bet,Roll the dice.,Roll (forced 5),
15,dontcome,Don't Come,7,Don't Come Point of 5,The Don't Come bet moves behind 5. It wins if 7 rolls before 5.,None,
15,dontcome,Don't Come,8,Don't Come Odds,You may add Odds to a Don't Come bet after it moves to a number.,Place Odds on Don't Come bet (5),Custom check: dc bet on 5 has odds > 0
15,dontcome,Don't Come,9,Multiple Points,"The table Point is still 8, while your Don't Come bet has its own Point of 5.",None,
15,dontcome,Don't Come,10,Resolve the Bet,Roll the dice.,Roll (forced 7),
15,dontcome,Don't Come,11,Don't Come Winner,"The 7 rolled before 5, so the Don't Come bet and its Odds win.",None,
15,dontcome,Don't Come,12,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
16,lay,Lay Bets,1,Lay Bets,A Lay bet wins when 7 rolls before the selected number.,None,
16,lay,Lay Bets,2,The Opposite of a Buy Bet,Buy bets want the number before 7. Lay bets want 7 before the number.,None,
16,lay,Lay Bets,3,Lay Against 4,Place a Lay bet against 4.,Place Lay bet against 4,Custom check: bets.lay4 > 0
16,lay,Lay Bets,4,Winning the Lay Bet,This bet wins if 7 rolls before 4.,None,
16,lay,Lay Bets,5,Roll a Winner,Roll the dice.,Roll (forced 7),
16,lay,Lay Bets,6,Lay Bet Winner,"The 7 arrived before 4, so the Lay bet wins.",None,
16,lay,Lay Bets,7,Lesson Complete,Press Finish to move to the next lesson.,Press Finish,
17,fulltable,The Full Table,1,The Full Craps Table,The complete table contains every betting area introduced during the tutorial.,None,
17,fulltable,The Full Table,2,Line Bets,"Pass, Come, Don't Pass, and Don't Come follow the Point system.",None,Highlights pass/come/dp/dc bars
17,fulltable,The Full Table,3,Number Bets,"Place, Buy, and Lay bets target the individual number boxes.",None,Highlights place/buy/lay-6
17,fulltable,The Full Table,4,Single-Roll Bets,"Field, Proposition, and Hop bets resolve on the next roll.",None,Highlights field/any7/horn
17,fulltable,The Full Table,5,Persistent Side Bets,Hardways and Bonus bets may remain active across several rolls.,None,Highlights hard6/bbonus-low
17,fulltable,The Full Table,6,Tutorial Complete,You now know how each major section of the table works. Choose the bets you prefer and play at your own pace.,None,Final step - complete:true
